  JENDL-4.0 NFY Fm255                                                0         0
 1.002550+5 2.528990+2         -1          0          6          19936 1451    1
 0.000000+0 1.000000+0          0          0          0          69936 1451    2
 1.000000+0 2.000000+7          0          0         11          49936 1451    3
 0.000000+0 0.000000+0          0          0         20          39936 1451    4
100-FM-255 JAEA       EVAL-FEB10 J. KATAKURA                      9936 1451    5
                      DIST-MAY10                       20100222   9936 1451    6
----JENDL-4           MATERIAL 9936                               9936 1451    7
-----NEUTRON-INDUCED FISSION PRODUCT YIELDS                       9936 1451    8
------ENDF-6 FORMAT                                               9936 1451    9
                                                                  9936 1451   10
 ORIGINAL DATA TAKEN FROM ENDF/B-VII FILE.                        9936 1451   11
 ADJUSTED INDEPENDENT AND CUMULATIVE YIELD LIBRARIES              9936 1451   12
 BASED ON THE DATA IN JENDL FP DECAY DATA FILE 2000.              9936 1451   13
 TERNARY FISSION YIELDS ARE ADDED.                                9936 1451   14
 CONVERTED BY J. KATAKURA                                         9936 1451   15
                                                                  9936 1451   16
 REFERENCES:                                                      9936 1451   17
 1. T.R. ENGLAND AND B.F. RIDER, "EVALUATION AND                  9936 1451   18
    COMPILATION OF FISSION-PRODUCT YIELDS", 1992, ENDF-349        9936 1451   19
 2. R.W. MILLS, "FISSION PRODUCT YIELD EVALUATION", THESIS,       9936 1451   20
    THE UNIVERSITY OF BIRMINGHAM, UK. (1995)                      9936 1451   21
 3. J. KATAKURA ET AL., "JENDL FP DECAY DATA FILE 2000",          9936 1451   22
    JAERI 1343 (2001)                                             9936 1451   23
                                                                  9936 1451   24
                                1        451         27          09936 1451   25
                                8        454        830          09936 1451   26
                                8        459        830          09936 1451   27
                                                                  9936 1  099999
                                                                  9936 0  0    0
 1.002550+5 2.528990+2          1          0          0          09936 8454    1
 2.530000-2 0.000000+0          0          0       4964       12419936 8454    2
 1.001000+3 0.000000+0 5.376230-5 8.601960-6 1.002000+3 0.000000+09936 8454    3
 1.643020-5 2.349520-6 1.003000+3 0.000000+0 2.344080-4 1.875260-59936 8454    4
 2.003000+3 0.000000+0 0.000000+0 0.000000+0 2.004000+3 0.000000+09936 8454    5
 3.850520-3 2.464340-4 2.006000+3 0.000000+0 5.377100-5 7.958110-69936 8454    6
 2.008000+3 0.000000+0 1.005210-6 2.492910-7 3.006000+3 0.000000+09936 8454    7
 0.000000+0 0.000000+0 3.007000+3 0.000000+0 1.402110-6 2.650000-79936 8454    8
 3.009000+3 0.000000+0 9.978850-7 2.325070-7 4.009000+3 0.000000+09936 8454    9
 0.000000+0 0.000000+0 4.010000+3 0.000000+0 1.230000-5 2.054100-69936 8454   10
 2.306600+4 0.000000+0 1.30186-17 8.33190-18 2.406600+4 0.000000+09936 8454   11
 6.88583-13 4.40694-13 2.406700+4 0.000000+0 1.96458-14 1.25733-149936 8454   12
 2.406800+4 0.000000+0 0.000000+0 0.000000+0 2.406900+4 0.000000+09936 8454   13
